Origin,Dest,flight_count,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
FSD,CPR,1,793.4,,2.0,
FSD,CVG,2797,1128.15,99.39,0.05,-2.69
FSD,CYS,1,716.16,,0.0,
FSD,DEN,7054,777.31,93.48,7.35,5.29
FSD,GJT,1,1100.79,,1.0,
FSD,GRR,1,914.11,,9.0,
FSD,LAS,103,1778.32,152.63,7.78,6.5
FSD,LNK,1,302.56,,0.0,
FSD,MSN,4,601.89,,31.0,
FSD,MSP,8111,317.04,36.68,1.03,1.13
FSD,MTJ,1,1092.74,,0.0,
FSD,ORD,7029,743.52,70.72,19.17,18.28
FSD,PHX,91,1739.7,154.49,-4.78,-3.11
FSD,PIH,1,1287.47,,-10.0,
FSD,RAP,1,510.16,,0.0,
FSD,RFD,2,643.74,,60.5,
FSD,SBN,1,878.7,,20.0,
FSD,SLC,525,1293.91,126.49,-1.33,3.42
FSM,ATL,389,931.81,84.35,19.09,20.87
FSM,DFW,9969,366.93,44.51,5.33,4.51
FSM,MEM,302,400.73,46.32,4.52,5.26
FWA,ATL,4888,817.54,77.12,14.3,10.97
FWA,CVG,6667,218.87,32.41,3.06,0.59
FWA,DFW,3834,1382.42,128.52,4.88,1.44
FWA,DTW,1396,206.0,30.87,20.27,18.4
FWA,ORD,14033,252.67,36.85,10.37,10.28
FWA,SBN,1,123.92,24.0,0.0,0.0
GEG,BOI,5118,461.88,43.56,4.59,2.25
GEG,DEN,5927,1345.41,109.2,1.84,0.74
GEG,GJT,2,1192.52,,18.5,
GEG,IDA,2,624.42,,-8.0,
GEG,LAS,2421,1297.13,117.27,7.05,-0.53
GEG,LAX,1530,1520.83,132.66,2.56,2.33
GEG,MSP,4349,1890.97,144.69,2.95,2.46
GEG,OAK,2119,1163.55,105.91,3.1,-3.26
GEG,ONT,526,1506.34,132.71,4.16,-2.98
GEG,ORD,1851,2410.79,182.88,4.47,1.17
GEG,PDX,6837,449.01,48.09,7.06,4.5
GEG,PHX,3646,1641.53,135.16,3.26,0.03
GEG,PIH,1,650.17,,21.0,
GEG,PSC,4,193.12,,2.5,
GEG,PVU,1,944.68,,-11.0,
GEG,RAP,1,1190.91,,-6.0,
GEG,RNO,51,920.54,80.12,-4.62,-9.06
GEG,SAN,422,1652.79,145.64,6.98,7.04
