IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
BTM,45.95479528,-112.49746,1789.0,894.0,895,28.55,28.55,27.93,,101.63,3.55,9.75,21.0,9.0,2.0,2,4.0
SPN,14.996111,145.621384,1733.0,1023.0,710,38.22,38.22,36.98,26.61,207.6,-3.96,0.44,8.0,0.0,1.0,1,2.0
GJT,39.1224125,-108.5267347,1556.0,789.0,767,56.71,56.71,54.25,,341.18,4.09,5.01,18.0,0.0,1.0,1,2.0
ORH,42.26733944,-71.87570944,1281.0,648.0,633,76.77,76.77,74.33,,437.58,5.19,4.28,58.0,3.0,3.0,3,6.0
ALO,42.55708139,-92.40034361,938.0,469.0,469,45.48,45.48,50.35,34.66,267.15,-0.04,-1.75,33.0,0.0,1.0,1,2.0
GST,58.42438139,-135.7073814,926.0,463.0,463,25.2,25.2,21.42,14.53,65.98,3.64,10.83,10.0,1.0,1.0,1,2.0
ANI,61.58159694,-159.5430428,862.0,432.0,430,47.73,47.73,44.6,27.02,357.37,6.54,12.26,25.0,24.0,2.0,2,4.0
KSM,62.06048639,-163.3021108,846.0,425.0,421,73.05,73.05,71.0,63.21,711.33,5.82,11.41,41.0,2.0,1.0,2,3.0
SPI,39.84395194,-89.67761861,672.0,346.0,326,54.76,54.76,55.0,,280.03,2.2,17.29,14.0,1.0,1.0,1,2.0
DRO,37.15151667,-107.7537692,666.0,333.0,333,114.28,114.28,117.38,88.61,1084.7,11.18,9.05,3.0,1.0,1.0,1,2.0
MTJ,38.50886722,-107.8938333,581.0,291.0,290,122.01,122.01,125.61,106.37,1291.33,6.66,2.9,3.0,1.0,5.0,5,10.0
PSE,18.00830278,-66.56301194,577.0,291.0,286,178.74,178.74,175.94,,1897.67,-0.97,4.58,2.0,2.0,3.0,2,5.0
LWB,37.85830556,-80.39947222,338.0,169.0,169,71.66,71.66,71.92,61.35,635.99,1.09,-1.35,5.0,0.0,3.0,3,6.0
COD,44.52019417,-109.0237961,283.0,142.0,141,71.97,71.97,69.27,,630.86,5.25,-6.03,0.0,0.0,1.0,1,2.0
ROR,7.367222,134.544167,280.0,133.0,147,115.77,115.77,115.0,,1308.39,-7.3,0.07,1.0,0.0,1.0,1,2.0
ACK,41.25305194,-70.06018139,240.0,122.0,118,71.04,71.04,68.39,53.91,346.61,17.3,26.04,8.0,0.0,2.0,2,4.0
LIH,21.97598306,-159.3389581,97.0,48.0,49,33.98,33.98,39.0,,164.15,-1.89,1.52,3.0,0.0,1.0,1,2.0
TWF,42.48180389,-114.4877356,57.0,29.0,28,152.93,152.93,154.59,138.96,1657.4,2.0,-2.93,0.0,0.0,2.0,2,4.0
ABI,32.41132,-99.68189722,1.0,0.0,1,,,,,,,,0.0,0.0,0.0,1,1.0
ATW,44.25740806,-88.51947556,1.0,0.0,1,,,,,,,-157.0,0.0,0.0,0.0,1,1.0
BFI,47.52998917,-122.3019561,1.0,0.0,1,,,,,,,,0.0,0.0,0.0,1,1.0
