IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
MSY,29.99338889,-90.25802778,8848,4424,4424,105.78,105.78,107.24,89.61,999.66,6.15,6.77,30,12,35,35,70
DAL,32.84711389,-96.85177222,8661,4331,4330,67.31,67.31,68.77,55.61,565.34,9.3,6.52,120,8,17,17,34
SNA,33.67565861,-117.8682225,8047,4023,4024,137.33,137.33,136.39,115.95,1388.47,8.04,6.58,104,12,21,21,42
AUS,30.19453278,-97.66987194,7719,3862,3857,105.51,105.51,107.91,88.65,992.28,6.12,7.29,61,10,30,30,60
SMF,38.69542167,-121.5907669,7404,3702,3702,111.66,111.66,113.66,96.37,1148.49,7.4,7.17,22,7,19,19,38
CMH,39.99798528,-82.89188278,6977,3489,3488,104.46,104.46,106.53,84.52,907.39,7.61,9.89,111,17,25,25,50
RDU,35.87763889,-78.78747222,6953,3481,3472,105.13,105.13,107.17,83.67,857.84,9.66,9.55,80,12,26,27,53
HNL,21.31869111,-157.9224072,6911,3456,3455,126.01,126.01,125.56,109.74,1463.04,4.82,4.38,36,0,16,16,32
IND,39.71732917,-86.29438417,6874,3437,3437,98.45,98.45,97.96,77.06,803.35,7.92,9.61,78,7,28,28,56
BDL,41.93887417,-72.68322833,6641,3323,3318,136.69,136.69,138.87,115.03,1266.13,11.14,10.46,46,15,32,30,62
ABQ,35.04022222,-106.6091944,6551,3275,3276,104.26,104.26,107.54,88.63,1020.76,7.9,7.4,22,6,30,30,60
SAT,29.53369444,-98.46977778,6530,3265,3265,95.9,95.9,97.71,79.21,873.63,5.53,7.79,37,12,23,22,45
ONT,34.056,-117.6011944,6370,3185,3185,97.56,97.56,98.36,82.83,951.82,7.43,6.85,28,2,17,18,35
PVD,41.72399917,-71.42822111,5379,2690,2689,111.12,111.12,113.36,91.63,936.06,11.73,13.08,55,7,21,21,42
ANC,61.17432028,-149.9961856,5024,2512,2512,189.59,189.59,185.49,171.44,2183.61,8.65,9.04,66,8,25,26,51
BUR,34.20061917,-118.3584969,4886,2443,2443,77.83,77.83,78.75,62.62,661.54,6.99,5.72,38,3,10,10,20
JAX,30.49405556,-81.68786111,4522,2261,2261,102.96,102.96,103.2,84.42,877.55,6.67,7.73,27,5,21,21,42
RNO,39.49857611,-119.7680647,4422,2211,2211,93.59,93.59,95.78,77.37,865.24,8.59,7.85,7,4,15,15,30
PBI,26.68316194,-80.09559417,4378,2189,2189,136.47,136.47,137.93,116.19,1295.85,8.89,6.99,24,19,20,20,40
SJU,18.43941667,-66.00183333,4367,2183,2184,220.03,220.03,223.11,195.65,2466.85,6.76,5.74,45,7,24,24,48
TUL,36.19837222,-95.88824167,4138,2068,2070,84.27,84.27,86.54,66.08,664.3,5.67,7.92,34,5,14,14,28
BUF,42.94052472,-78.73216667,3918,1956,1962,94.01,94.01,96.56,73.97,706.03,10.08,10.48,39,5,18,17,35
OKC,35.39308833,-97.60073389,3884,1943,1941,79.12,79.12,80.44,62.31,639.74,6.38,8.71,14,7,13,13,26
ELP,31.80666667,-106.3778056,3854,1926,1928,94.15,94.15,96.36,78.45,896.06,6.91,8.16,15,5,15,15,30
SDF,38.17438889,-85.736,3806,1904,1902,85.88,85.88,86.87,69.07,692.26,7.0,8.24,21,4,19,18,37
TUS,32.11608333,-110.9410278,3504,1752,1752,100.95,100.95,102.72,82.82,938.23,5.01,6.82,28,3,14,14,28
RIC,37.50516667,-77.31966667,3451,1725,1726,94.07,94.07,95.41,72.53,718.18,7.76,10.51,68,4,14,14,28
BHM,33.56294306,-86.75354972,3420,1712,1708,80.41,80.41,82.37,64.4,656.21,7.96,7.47,11,5,21,21,42
OMA,41.30251861,-95.89417306,3335,1668,1667,96.96,96.96,99.77,79.72,873.33,6.95,8.64,21,6,11,11,22
ORF,36.89461111,-76.20122222,3306,1654,1652,103.26,103.26,104.34,82.4,824.42,9.5,11.1,40,4,14,14,28
MKE,42.94722222,-87.89658333,3113,1556,1557,92.1,92.1,92.47,70.86,715.88,4.88,9.62,41,2,13,13,26
ALB,42.74811944,-73.80297861,3003,1500,1503,102.6,102.6,103.58,82.62,809.48,9.83,15.03,24,10,14,13,27
OGG,20.89864972,-156.4304578,2996,1498,1498,110.05,110.05,109.16,98.92,1281.25,5.06,4.9,22,1,11,11,22
MHT,42.93451639,-71.43705583,2958,1479,1479,107.52,107.52,110.25,88.05,905.61,12.24,11.79,25,13,15,16,31
LIT,34.72939611,-92.22424556,2794,1396,1398,75.41,75.41,78.34,58.91,578.34,5.93,7.85,10,3,10,10,20
RSW,26.53616667,-81.75516667,2792,1394,1398,136.54,136.54,136.04,114.53,1275.67,7.43,5.09,38,8,18,18,36
ROC,43.11886611,-77.67238389,2788,1394,1394,89.59,89.59,90.6,68.2,609.18,9.93,10.25,56,10,13,14,27
GSO,36.09774694,-79.9372975,2732,1364,1368,91.16,91.16,92.31,68.47,665.63,6.54,11.71,47,3,13,12,25
GEG,47.61985556,-117.5338425,2268,1134,1134,93.21,93.21,94.14,77.63,872.1,11.16,11.47,3,5,9,10,19
ISP,40.7952425,-73.10021194,2254,1127,1127,97.72,97.72,102.22,82.91,811.07,12.05,12.4,35,6,9,9,18
COS,38.80580556,-104.70025,2220,1110,1110,113.89,113.89,114.95,90.38,1050.21,5.21,9.43,32,3,11,11,22
BOI,43.56444444,-116.2227778,2153,1077,1076,94.26,94.26,95.82,79.83,902.12,8.21,7.51,5,0,12,12,24
PWM,43.64616667,-70.30875,2018,1008,1010,99.1,99.1,101.25,78.52,764.35,13.94,14.41,45,6,10,9,19
DAY,39.90237583,-84.219375,1959,979,980,82.88,82.88,82.41,60.83,583.79,7.82,12.52,27,2,10,10,20
GRR,42.88081972,-85.52276778,1958,979,979,67.98,67.98,71.24,47.7,420.98,8.62,12.76,31,1,5,6,11
SYR,43.11118694,-76.10631056,1911,954,957,91.76,91.76,93.15,70.61,668.54,5.65,10.29,33,1,11,11,22
